Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"OLED Display","To dislay the program",1,1.53,"https://www.tokopedia.com/cncstorejogja/lcd-oled-0-96-inch-white-i2c-0-96-128x64-display-module?t_id=1774762569755&t_st=12&t_pp=cart&t_efo=cart&t_ef=goods_search&t_sm=&t_spt=cart","Tokopedia"
"Heat set insert 10x","For the 3D printing case connection",1,1.12,"https://www.tokopedia.com/ciptakarya3d/brass-hot-melt-thread-inserts-nut-m2-m2-5-m3-m4-m5-m6-m8-double-twill-knurled-varian-1-x-100pcs-free-box-1729797896345322881?extParam=ivf%3Dfalse%26keyword%3Dheatset+insert+m3%26search_id%3D2026032905492711B9842E0A271F374T2R%26src%3Dsearch&t_id=1774762569755&t_st=7&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"Printing Legion","To print the 3D case (the price is estimated from my previous experience in printing case)",1,9.00,"https://github.com/hackclub/print-legion","Hackclub"
"Screw ","To connect the bottom and top part of the case",4,0.09,"https://www.tokopedia.com/centi-store/baut-kancing-3mm-m3-4mm-6mm-8mm-10mm-16mm-ss304-round-head-l-socket-6mm?t_id=1774762569755&t_st=6&t_pp=cart&t_efo=cart&t_ef=goods_search&t_sm=&t_spt=cart","Tokopedia"
"PCB ","Holding the components together",1,2.00,"https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006","JLCPCB"
"Battery CR2032","Supplying the power",5,2.11,"https://www.tokopedia.com/panasonic-battery-indonesia/panasonic-baterai-kancing-lithium-coin-cr2016-cr2025-cr2032-cr2032-5pc?t_id=1774762569755&t_st=2&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart","Tokopedia"
"Battery Socket x5","For placing the battery ",1,0.26,"https://www.tokopedia.com/iwantelectronics/soket-baterai-3v-tempat-holder-case-baterai-kancing-3v-cr2032-battery-socket-cr2032-socket-battery-3v-cr2032-socket-2pin-1731585016507762682?extParam=ivf%3Dfalse%26keyword%3Dbattery+socket+cr2032%26search_id%3D20260329054326D947BF06A885DB3C112E%26src%3Dsearch&t_id=1774762569755&t_st=4&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"1k Resistors  5x","Limiting the current",1,0.30,"https://www.tokopedia.com/arduinonano/10pcs-resistor-1k-1-kilo-k-ohm-1-4-watt-0-25-metal-film-tolerance-1","Tokopedia"
"1x40 Pin 2.0mm Male Single Row Header Strip","For the pin connection; so that I can input the data to the microcontroller",1,0.15,"https://www.tokopedia.com/arduinonano/1x40-pin-2-0mm-male-single-row-header-strip-40-40p-pit-2mm-tulang-ikan","Tokopedia"
"1.3"" OLED Module IIC I2C 128X64","For the graphic display",1,1.54,"https://www.tokopedia.com/cncstorejogja/yellow-blue-0-96-i2c-128x64-oled-lcd-display-module-1729811659019355136","Tokopedia"
"Socket IC 8pin 10x","For the ATtiny85 socket; so the ATtiny can be removed if later I wanted to store another program",1,0.30,"https://www.tokopedia.com/arduinonano/soket-ic-8p-socket-ic-8-pin-8pin-dip-8-p-integrated-circuit","Tokopedia"
"ATtiny 85","The microcontroller, storing the program",1,2.13,"https://www.tokopedia.com/cncstorejogja/attiny85-20pu-attiny85-attiny-85-avr-dip-8","Tokopedia"
"Buzzer","To make sound",1,0.15,"https://www.tokopedia.com/arduinonano/5v-buzzer-active-dc-sot-plastic-tube-long-sound-12x9-5mm-st-continuous?t_id=1769607498209&t_st=1&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart","Tokopedia"
"LED SMD","Light up the board",1,0.06,"https://www.tokopedia.com/arduinonano/10pcs-led-smd-1206-6-warna-orange-blue-green-white-yellow-red-1730749956984767597?t_id=1769607498209&t_st=2&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart","Tokopedia"
"Slide switch 10x","On/Off the battery connection to the display",1,0.10,"https://www.tokopedia.com/indo-ware/3-pin-saklar-geser-mini-toggle-switch-slide-1p2t-3pin-ss12d00-g3?extParam=ivf%3Dfalse%26keyword%3Dslide+switch%26search_id%3D20260318072230DB8E1AF0CB3ACA30DJ17%26src%3Dsearch&t_id=1773817552452&t_st=6&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"Push Button","Directing the game character (left, right, forward) ",3,0.05,"https://www.tokopedia.com/arduinonano/black-small-push-button-copper-foot-micro-square-4p-4pin-6x6x5mm-6x6x5","Tokopedia"